response,context,context/0,context/1,context/2,context/3,context/4,context/5,context/6,context/7
"Go on, Tommy, shave him good. He's never met a girl he likes better than his own hair.",Think of all those southern girls he gets to stab with his right royal prick.,I hear the prince is a right royal prick.,"It's for the queen, I bet. I hear she's [sleek as a mink?]",Why's your mother so dead-set on us getting pretty for the king?,"In any case, candles.",We've brought up eight barrels of ale from the cellar. Perhaps we'll find out.,How much could he possibly drink? A man of his … stature.,I'm told he drinks all night.,We need plenty of candles for Lord Tyrion's chamber. I'm told he reads all night.
Thank you.,"Fine work, as always. Well done.",And your mother.,Go on. Father's watching.,It's …,What is it?,See where they went.,They were here.,Your dead men seem to have moved camp.,"It's a good thing we're not children. You want to run away south, run away. Of course, they will behead you as a deserter … If I don't catch you first. Get back on your horse. I won't say it again."
My husband.,But who would he tell?,What if Jon Arryn told someone?,"There was nothing to be afraid of until you told father. [In a whisper, mimicking] We're Lannisters. Lannisters don't act like fools.","And you never worry about anything. When we were seven, you jumped off the cliffs as Casterly Rock. One hundred foot drop into the water. And you were never afraid.","As your brother, I feel it's my duty to warn you","The runt of the litter. That one's yours, Snow.",What is it?,I'm not a Stark. Get on.,What about you?
"And which one of you was a marksman at ten? Keep practicing, Bran. Go on.",I love the detail that you've managed to get in this corners. … Quite beautiful … the stitching …,Thank you.,"Fine work, as always. Well done.",And your mother.,Go on. Father's watching.,It's …,What is it?,See where they went.,They were here.
It's a direwolf.,It's a freak.,There are no mountain lions in these woods.,Mountain lion?,What is it?,A madman sees what he sees.,So he was lying?,The White Walkers have been gone for thousands of years.,Is it true he saw the White Walkers?,The man who passes the sentence should swing the sword.
"He's coming this far North, there's only one thing he's after.",They both have their health. Gods be good. [pause] The raven brought more news. The king rides for Winterfell. With the queen and all the rest of them.,Your sister. The boy …,There was a raven from Kings Landing. Jon Arryn is dead. A fever took him. I know he was like a father to you.,Tell me.,"I am so sorry, my love.",It's your gods with all the rules.,I wonder if the old gods agree.,You have five northern children. You're not an outsider.,All these years and I still feel like an outsider when I come here.
"In the name of Robert of the House Baratheon, first of his name …","Forgive me, lord.","nods yes, and WILL is positioned on the tree limb that serves as a block.","I know I broke my oath. And I know I'm a deserter. I should have gone back to the Wall and warned them. But I saw what I saw. I saw the White Walkers. People need to know. If you can get word to my family, tell them I'm no coward. Tell them I'm sorry.","White Walkers. I saw the White Walkers. White Walkers. The White Walkers, I saw them.","Lad, go run back and get the rest.",He won't be a boy forever. And winter is coming.,Ned. Ten is too young to see such things.,"Tell Bran he's coming, too.","The law is law, my lady."
"It's for the queen, I bet. I hear she's [sleek as a mink?]",Why's your mother so dead-set on us getting pretty for the king?,"In any case, candles.",We've brought up eight barrels of ale from the cellar. Perhaps we'll find out.,How much could he possibly drink? A man of his … stature.,I'm told he drinks all night.,We need plenty of candles for Lord Tyrion's chamber. I'm told he reads all night.,"You can always say no, Ned.","He's coming this far North, there's only one thing he's after.",They both have their health. Gods be good. [pause] The raven brought more news. The king rides for Winterfell. With the queen and all the rest of them.
It's …,What is it?,See where they went.,They were here.,Your dead men seem to have moved camp.,"It's a good thing we're not children. You want to run away south, run away. Of course, they will behead you as a deserter … If I don't catch you first. Get back on your horse. I won't say it again.",Whatever did it to them could do it to us. They even killed the children.,You don't think he'll ask us how they died? Get back on your horse.,Our orders were to track the wildlings. We tracked them. They won't trouble us no more.,Do the dead frighten you?
"The runt of the litter. That one's yours, Snow.",What is it?,I'm not a Stark. Get on.,What about you?,"You will train them yourselves. You will feed them yourselves. And if they die, you will bury them yourselves.",Lord Stark? There are five pups. One for each of the Stark children. The direwolf is the sigil of your House. They were meant to have them.,"I'm sorry, Bran.","Please, father!","I take orders from your father, not you.",Put away your blade.
What is it?,I'm not a Stark. Get on.,What about you?,"You will train them yourselves. You will feed them yourselves. And if they die, you will bury them yourselves.",Lord Stark? There are five pups. One for each of the Stark children. The direwolf is the sigil of your House. They were meant to have them.,"I'm sorry, Bran.","Please, father!","I take orders from your father, not you.",Put away your blade.,NO!
Jon said he was a deserter.,You understand why I did it?,You did well.,"Lord of the Seven Kingdoms and protector of the realm, I, Eddard of the House Stark, Lord of Winterfell and Warden of the North, sentence you to die.",Father will know if you do.,King of the Andals and the First Men …,Don't look away.,"In the name of Robert of the House Baratheon, first of his name …","Forgive me, lord.","nods yes, and WILL is positioned on the tree limb that serves as a block."
Get the lads to saddle their horses.,Lord Stark. My lady. A guardsman just rode in from the hills. They've captured a deserter from the Night's Watch.,"Quick, Bran, faster!",Relax your bow arm.,"Don't think too much, Bran.","And which one of you was a marksman at ten? Keep practicing, Bran. Go on.",I love the detail that you've managed to get in this corners. … Quite beautiful … the stitching …,Thank you.,"Fine work, as always. Well done.",And your mother.
There are no direwolves south of the Wall.,Tough old beast.,It's a direwolf.,It's a freak.,There are no mountain lions in these woods.,Mountain lion?,What is it?,A madman sees what he sees.,So he was lying?,The White Walkers have been gone for thousands of years.
You understand why I did it?,You did well.,"Lord of the Seven Kingdoms and protector of the realm, I, Eddard of the House Stark, Lord of Winterfell and Warden of the North, sentence you to die.",Father will know if you do.,King of the Andals and the First Men …,Don't look away.,"In the name of Robert of the House Baratheon, first of his name …","Forgive me, lord.","nods yes, and WILL is positioned on the tree limb that serves as a block.","I know I broke my oath. And I know I'm a deserter. I should have gone back to the Wall and warned them. But I saw what I saw. I saw the White Walkers. People need to know. If you can get word to my family, tell them I'm no coward. Tell them I'm sorry."
And your mother.,Go on. Father's watching.,It's …,What is it?,See where they went.,They were here.,Your dead men seem to have moved camp.,"It's a good thing we're not children. You want to run away south, run away. Of course, they will behead you as a deserter … If I don't catch you first. Get back on your horse. I won't say it again.",Whatever did it to them could do it to us. They even killed the children.,You don't think he'll ask us how they died? Get back on your horse.
Think of all those southern girls he gets to stab with his right royal prick.,I hear the prince is a right royal prick.,"It's for the queen, I bet. I hear she's [sleek as a mink?]",Why's your mother so dead-set on us getting pretty for the king?,"In any case, candles.",We've brought up eight barrels of ale from the cellar. Perhaps we'll find out.,How much could he possibly drink? A man of his … stature.,I'm told he drinks all night.,We need plenty of candles for Lord Tyrion's chamber. I'm told he reads all night.,"You can always say no, Ned."
"Forgive me, lord.","nods yes, and WILL is positioned on the tree limb that serves as a block.","I know I broke my oath. And I know I'm a deserter. I should have gone back to the Wall and warned them. But I saw what I saw. I saw the White Walkers. People need to know. If you can get word to my family, tell them I'm no coward. Tell them I'm sorry.","White Walkers. I saw the White Walkers. White Walkers. The White Walkers, I saw them.","Lad, go run back and get the rest.",He won't be a boy forever. And winter is coming.,Ned. Ten is too young to see such things.,"Tell Bran he's coming, too.","The law is law, my lady.","He swore an oath, Cat."
"The law is law, my lady.","He swore an oath, Cat.",Do you have to?,Get the lads to saddle their horses.,Lord Stark. My lady. A guardsman just rode in from the hills. They've captured a deserter from the Night's Watch.,"Quick, Bran, faster!",Relax your bow arm.,"Don't think too much, Bran.","And which one of you was a marksman at ten? Keep practicing, Bran. Go on.",I love the detail that you've managed to get in this corners. … Quite beautiful … the stitching …
Tell me.,"I am so sorry, my love.",It's your gods with all the rules.,I wonder if the old gods agree.,You have five northern children. You're not an outsider.,All these years and I still feel like an outsider when I come here.,"That's an honor I can do without. Their days are too long, their lives are too short.",You should be the Hand of the king.,"If he told the king, both our heads would be skewered on the city gates by now. Whatever Jon Arryn knew or didn't know, it died with him. And Robert will choose a new Hand of the king, someone to do his job while he's off fucking boars and hunting whores. Or is it the other way around? And life will go on.",My husband.
"I know I broke my oath. And I know I'm a deserter. I should have gone back to the Wall and warned them. But I saw what I saw. I saw the White Walkers. People need to know. If you can get word to my family, tell them I'm no coward. Tell them I'm sorry.","White Walkers. I saw the White Walkers. White Walkers. The White Walkers, I saw them.","Lad, go run back and get the rest.",He won't be a boy forever. And winter is coming.,Ned. Ten is too young to see such things.,"Tell Bran he's coming, too.","The law is law, my lady.","He swore an oath, Cat.",Do you have to?,Get the lads to saddle their horses.
"You will train them yourselves. You will feed them yourselves. And if they die, you will bury them yourselves.",Lord Stark? There are five pups. One for each of the Stark children. The direwolf is the sigil of your House. They were meant to have them.,"I'm sorry, Bran.","Please, father!","I take orders from your father, not you.",Put away your blade.,NO!,Right. Give it here.,Better a quick death. They won't last without their mother.,They don't belong down here.
Relax your bow arm.,"Don't think too much, Bran.","And which one of you was a marksman at ten? Keep practicing, Bran. Go on.",I love the detail that you've managed to get in this corners. … Quite beautiful … the stitching …,Thank you.,"Fine work, as always. Well done.",And your mother.,Go on. Father's watching.,It's …,What is it?
"White Walkers. I saw the White Walkers. White Walkers. The White Walkers, I saw them.","Lad, go run back and get the rest.",He won't be a boy forever. And winter is coming.,Ned. Ten is too young to see such things.,"Tell Bran he's coming, too.","The law is law, my lady.","He swore an oath, Cat.",Do you have to?,Get the lads to saddle their horses.,Lord Stark. My lady. A guardsman just rode in from the hills. They've captured a deserter from the Night's Watch.
See where they went.,They were here.,Your dead men seem to have moved camp.,"It's a good thing we're not children. You want to run away south, run away. Of course, they will behead you as a deserter … If I don't catch you first. Get back on your horse. I won't say it again.",Whatever did it to them could do it to us. They even killed the children.,You don't think he'll ask us how they died? Get back on your horse.,Our orders were to track the wildlings. We tracked them. They won't trouble us no more.,Do the dead frighten you?,We should head back to the wall.,Close as any man would.
Do you have to?,Get the lads to saddle their horses.,Lord Stark. My lady. A guardsman just rode in from the hills. They've captured a deserter from the Night's Watch.,"Quick, Bran, faster!",Relax your bow arm.,"Don't think too much, Bran.","And which one of you was a marksman at ten? Keep practicing, Bran. Go on.",I love the detail that you've managed to get in this corners. … Quite beautiful … the stitching …,Thank you.,"Fine work, as always. Well done."
The man who passes the sentence should swing the sword.,Our way is the old way?,But do you understand why I had to kill him?,Jon said he was a deserter.,You understand why I did it?,You did well.,"Lord of the Seven Kingdoms and protector of the realm, I, Eddard of the House Stark, Lord of Winterfell and Warden of the North, sentence you to die.",Father will know if you do.,King of the Andals and the First Men …,Don't look away.
"Fine work, as always. Well done.",And your mother.,Go on. Father's watching.,It's …,What is it?,See where they went.,They were here.,Your dead men seem to have moved camp.,"It's a good thing we're not children. You want to run away south, run away. Of course, they will behead you as a deserter … If I don't catch you first. Get back on your horse. I won't say it again.",Whatever did it to them could do it to us. They even killed the children.
I wonder if the old gods agree.,You have five northern children. You're not an outsider.,All these years and I still feel like an outsider when I come here.,"That's an honor I can do without. Their days are too long, their lives are too short.",You should be the Hand of the king.,"If he told the king, both our heads would be skewered on the city gates by now. Whatever Jon Arryn knew or didn't know, it died with him. And Robert will choose a new Hand of the king, someone to do his job while he's off fucking boars and hunting whores. Or is it the other way around? And life will go on.",My husband.,But who would he tell?,What if Jon Arryn told someone?,"There was nothing to be afraid of until you told father. [In a whisper, mimicking] We're Lannisters. Lannisters don't act like fools."
Go on. Father's watching.,It's …,What is it?,See where they went.,They were here.,Your dead men seem to have moved camp.,"It's a good thing we're not children. You want to run away south, run away. Of course, they will behead you as a deserter … If I don't catch you first. Get back on your horse. I won't say it again.",Whatever did it to them could do it to us. They even killed the children.,You don't think he'll ask us how they died? Get back on your horse.,Our orders were to track the wildlings. We tracked them. They won't trouble us no more.
I'm not a Stark. Get on.,What about you?,"You will train them yourselves. You will feed them yourselves. And if they die, you will bury them yourselves.",Lord Stark? There are five pups. One for each of the Stark children. The direwolf is the sigil of your House. They were meant to have them.,"I'm sorry, Bran.","Please, father!","I take orders from your father, not you.",Put away your blade.,NO!,Right. Give it here.
But do you understand why I had to kill him?,Jon said he was a deserter.,You understand why I did it?,You did well.,"Lord of the Seven Kingdoms and protector of the realm, I, Eddard of the House Stark, Lord of Winterfell and Warden of the North, sentence you to die.",Father will know if you do.,King of the Andals and the First Men …,Don't look away.,"In the name of Robert of the House Baratheon, first of his name …","Forgive me, lord."
How much could he possibly drink? A man of his … stature.,I'm told he drinks all night.,We need plenty of candles for Lord Tyrion's chamber. I'm told he reads all night.,"You can always say no, Ned.","He's coming this far North, there's only one thing he's after.",They both have their health. Gods be good. [pause] The raven brought more news. The king rides for Winterfell. With the queen and all the rest of them.,Your sister. The boy …,There was a raven from Kings Landing. Jon Arryn is dead. A fever took him. I know he was like a father to you.,Tell me.,"I am so sorry, my love."
NO!,Right. Give it here.,Better a quick death. They won't last without their mother.,They don't belong down here.,Where will they go? Their mother's dead.,You want to hold it?,Now there are five.,There are no direwolves south of the Wall.,Tough old beast.,It's a direwolf.
How many times have I told you,I saw the king! He's got hundreds of people!,"Gods, but they grow fast. [Seeing BRAN on the wall] Brandon!","Go on, Tommy, shave him good. He's never met a girl he likes better than his own hair.",Think of all those southern girls he gets to stab with his right royal prick.,I hear the prince is a right royal prick.,"It's for the queen, I bet. I hear she's [sleek as a mink?]",Why's your mother so dead-set on us getting pretty for the king?,"In any case, candles.",We've brought up eight barrels of ale from the cellar. Perhaps we'll find out.
Better a quick death. They won't last without their mother.,They don't belong down here.,Where will they go? Their mother's dead.,You want to hold it?,Now there are five.,There are no direwolves south of the Wall.,Tough old beast.,It's a direwolf.,It's a freak.,There are no mountain lions in these woods.
What is it?,A madman sees what he sees.,So he was lying?,The White Walkers have been gone for thousands of years.,Is it true he saw the White Walkers?,The man who passes the sentence should swing the sword.,Our way is the old way?,But do you understand why I had to kill him?,Jon said he was a deserter.,You understand why I did it?
Now there are five.,There are no direwolves south of the Wall.,Tough old beast.,It's a direwolf.,It's a freak.,There are no mountain lions in these woods.,Mountain lion?,What is it?,A madman sees what he sees.,So he was lying?
"As your brother, I feel it's my duty to warn you","The runt of the litter. That one's yours, Snow.",What is it?,I'm not a Stark. Get on.,What about you?,"You will train them yourselves. You will feed them yourselves. And if they die, you will bury them yourselves.",Lord Stark? There are five pups. One for each of the Stark children. The direwolf is the sigil of your House. They were meant to have them.,"I'm sorry, Bran.","Please, father!","I take orders from your father, not you."
It's a freak.,There are no mountain lions in these woods.,Mountain lion?,What is it?,A madman sees what he sees.,So he was lying?,The White Walkers have been gone for thousands of years.,Is it true he saw the White Walkers?,The man who passes the sentence should swing the sword.,Our way is the old way?
"And you never worry about anything. When we were seven, you jumped off the cliffs as Casterly Rock. One hundred foot drop into the water. And you were never afraid.","As your brother, I feel it's my duty to warn you","The runt of the litter. That one's yours, Snow.",What is it?,I'm not a Stark. Get on.,What about you?,"You will train them yourselves. You will feed them yourselves. And if they die, you will bury them yourselves.",Lord Stark? There are five pups. One for each of the Stark children. The direwolf is the sigil of your House. They were meant to have them.,"I'm sorry, Bran.","Please, father!"
Lord Stark? There are five pups. One for each of the Stark children. The direwolf is the sigil of your House. They were meant to have them.,"I'm sorry, Bran.","Please, father!","I take orders from your father, not you.",Put away your blade.,NO!,Right. Give it here.,Better a quick death. They won't last without their mother.,They don't belong down here.,Where will they go? Their mother's dead.
"Gods, but they grow fast. [Seeing BRAN on the wall] Brandon!","Go on, Tommy, shave him good. He's never met a girl he likes better than his own hair.",Think of all those southern girls he gets to stab with his right royal prick.,I hear the prince is a right royal prick.,"It's for the queen, I bet. I hear she's [sleek as a mink?]",Why's your mother so dead-set on us getting pretty for the king?,"In any case, candles.",We've brought up eight barrels of ale from the cellar. Perhaps we'll find out.,How much could he possibly drink? A man of his … stature.,I'm told he drinks all night.
It's your gods with all the rules.,I wonder if the old gods agree.,You have five northern children. You're not an outsider.,All these years and I still feel like an outsider when I come here.,"That's an honor I can do without. Their days are too long, their lives are too short.",You should be the Hand of the king.,"If he told the king, both our heads would be skewered on the city gates by now. Whatever Jon Arryn knew or didn't know, it died with him. And Robert will choose a new Hand of the king, someone to do his job while he's off fucking boars and hunting whores. Or is it the other way around? And life will go on.",My husband.,But who would he tell?,What if Jon Arryn told someone?
So he was lying?,The White Walkers have been gone for thousands of years.,Is it true he saw the White Walkers?,The man who passes the sentence should swing the sword.,Our way is the old way?,But do you understand why I had to kill him?,Jon said he was a deserter.,You understand why I did it?,You did well.,"Lord of the Seven Kingdoms and protector of the realm, I, Eddard of the House Stark, Lord of Winterfell and Warden of the North, sentence you to die."
"I take orders from your father, not you.",Put away your blade.,NO!,Right. Give it here.,Better a quick death. They won't last without their mother.,They don't belong down here.,Where will they go? Their mother's dead.,You want to hold it?,Now there are five.,There are no direwolves south of the Wall.
Tough old beast.,It's a direwolf.,It's a freak.,There are no mountain lions in these woods.,Mountain lion?,What is it?,A madman sees what he sees.,So he was lying?,The White Walkers have been gone for thousands of years.,Is it true he saw the White Walkers?
I saw the king! He's got hundreds of people!,"Gods, but they grow fast. [Seeing BRAN on the wall] Brandon!","Go on, Tommy, shave him good. He's never met a girl he likes better than his own hair.",Think of all those southern girls he gets to stab with his right royal prick.,I hear the prince is a right royal prick.,"It's for the queen, I bet. I hear she's [sleek as a mink?]",Why's your mother so dead-set on us getting pretty for the king?,"In any case, candles.",We've brought up eight barrels of ale from the cellar. Perhaps we'll find out.,How much could he possibly drink? A man of his … stature.
Put away your blade.,NO!,Right. Give it here.,Better a quick death. They won't last without their mother.,They don't belong down here.,Where will they go? Their mother's dead.,You want to hold it?,Now there are five.,There are no direwolves south of the Wall.,Tough old beast.
"That's an honor I can do without. Their days are too long, their lives are too short.",You should be the Hand of the king.,"If he told the king, both our heads would be skewered on the city gates by now. Whatever Jon Arryn knew or didn't know, it died with him. And Robert will choose a new Hand of the king, someone to do his job while he's off fucking boars and hunting whores. Or is it the other way around? And life will go on.",My husband.,But who would he tell?,What if Jon Arryn told someone?,"There was nothing to be afraid of until you told father. [In a whisper, mimicking] We're Lannisters. Lannisters don't act like fools.","And you never worry about anything. When we were seven, you jumped off the cliffs as Casterly Rock. One hundred foot drop into the water. And you were never afraid.","As your brother, I feel it's my duty to warn you","The runt of the litter. That one's yours, Snow."
"Lord of the Seven Kingdoms and protector of the realm, I, Eddard of the House Stark, Lord of Winterfell and Warden of the North, sentence you to die.",Father will know if you do.,King of the Andals and the First Men …,Don't look away.,"In the name of Robert of the House Baratheon, first of his name …","Forgive me, lord.","nods yes, and WILL is positioned on the tree limb that serves as a block.","I know I broke my oath. And I know I'm a deserter. I should have gone back to the Wall and warned them. But I saw what I saw. I saw the White Walkers. People need to know. If you can get word to my family, tell them I'm no coward. Tell them I'm sorry.","White Walkers. I saw the White Walkers. White Walkers. The White Walkers, I saw them.","Lad, go run back and get the rest."
I hear the prince is a right royal prick.,"It's for the queen, I bet. I hear she's [sleek as a mink?]",Why's your mother so dead-set on us getting pretty for the king?,"In any case, candles.",We've brought up eight barrels of ale from the cellar. Perhaps we'll find out.,How much could he possibly drink? A man of his … stature.,I'm told he drinks all night.,We need plenty of candles for Lord Tyrion's chamber. I'm told he reads all night.,"You can always say no, Ned.","He's coming this far North, there's only one thing he's after."
"Please, father!","I take orders from your father, not you.",Put away your blade.,NO!,Right. Give it here.,Better a quick death. They won't last without their mother.,They don't belong down here.,Where will they go? Their mother's dead.,You want to hold it?,Now there are five.
What about you?,"You will train them yourselves. You will feed them yourselves. And if they die, you will bury them yourselves.",Lord Stark? There are five pups. One for each of the Stark children. The direwolf is the sigil of your House. They were meant to have them.,"I'm sorry, Bran.","Please, father!","I take orders from your father, not you.",Put away your blade.,NO!,Right. Give it here.,Better a quick death. They won't last without their mother.
They both have their health. Gods be good. [pause] The raven brought more news. The king rides for Winterfell. With the queen and all the rest of them.,Your sister. The boy …,There was a raven from Kings Landing. Jon Arryn is dead. A fever took him. I know he was like a father to you.,Tell me.,"I am so sorry, my love.",It's your gods with all the rules.,I wonder if the old gods agree.,You have five northern children. You're not an outsider.,All these years and I still feel like an outsider when I come here.,"That's an honor I can do without. Their days are too long, their lives are too short."
Our way is the old way?,But do you understand why I had to kill him?,Jon said he was a deserter.,You understand why I did it?,You did well.,"Lord of the Seven Kingdoms and protector of the realm, I, Eddard of the House Stark, Lord of Winterfell and Warden of the North, sentence you to die.",Father will know if you do.,King of the Andals and the First Men …,Don't look away.,"In the name of Robert of the House Baratheon, first of his name …"
Don't look away.,"In the name of Robert of the House Baratheon, first of his name …","Forgive me, lord.","nods yes, and WILL is positioned on the tree limb that serves as a block.","I know I broke my oath. And I know I'm a deserter. I should have gone back to the Wall and warned them. But I saw what I saw. I saw the White Walkers. People need to know. If you can get word to my family, tell them I'm no coward. Tell them I'm sorry.","White Walkers. I saw the White Walkers. White Walkers. The White Walkers, I saw them.","Lad, go run back and get the rest.",He won't be a boy forever. And winter is coming.,Ned. Ten is too young to see such things.,"Tell Bran he's coming, too."
